Country Name,Country Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,5.5,5.7,6.9,6.9,6.9,6.7,7,6.8,8.6,8.3,9.1
,AFE,63.09983684,63.12465243,61.71839676,61.08268528,61.49957684,62.12833789,62.45768836,61.89113188,62.2426314,63.3870897,66.1234487
Afganistán,AFG,15.2,12.6,15.4,16.9,19.1,17.7,20.2,19.5,18.3,18.9,18.2
,AFW,80.93951372,79.57691267,78.88687644,77.13794122,76.13580249,76.68916006,76.2833831,76.4130815,75.96002981,75.32892838,76.10281869
Angola,AGO,53.1,51.7,49,46.8,47.5,47.1,48.1,52.5,52.5,51,60.1
Albania,ALB,37,35.8,39.9,41.1,38.6,38.5,39.4,36.9,37.8,40.1,44.4
Andorra,AND,18.7,18.6,18.8,19.1,19.4,19,18.9,18,17.6,17.2,20.9
El mundo árabe,ARB,4.825768852,4.672720691,4.449686682,4.484017769,4.35892993,4.223495009,4.287914859,4.375673006,4.52639402,4.732307136,5.138584984
Emiratos Árabes Unidos,ARE,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.7,0.9
Argentina,ARG,8.8,8.8,8.6,8.9,9.8,9.4,9.4,10.4,10.5,10.7,9.8
Armenia,ARM,9.4,8,6.6,6.8,7.1,10.7,13.2,12.6,11.1,10.3,8.4
Samoa Americana,ASM,0,0,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4
Antigua y Barbuda,ATG,0,0.1,0.1,0.1,0.1,0.4,0.4,0.4,0.7,0.7,0.9
Australia,AUS,8.2,8.3,8.3,9.2,9.3,9.4,9.6,9.9,9.8,10.3,11.2
Austria,AUT,31.1,31.6,34.4,34.6,35.7,34.8,34.6,34,34.1,34,35.8
Azerbaiyán,AZE,4.4,3.5,2.8,2.5,2.1,2.3,1.9,1.9,1.9,1.7,1.3
Burundi,BDI,93.2,92.1,91.7,90.8,91.3,91.2,89.6,88.2,85.7,84.8,83.4
Bélgica,BEL,6.2,6.7,7.7,8.3,9.1,9.4,9.2,9.7,10.7,10.2,12.3
Benin,BEN,47.2,48.7,50.3,52,51,49.9,45.4,45.4,44,46.5,46.2
Burkina Faso,BFA,82.1,81.4,79.2,78.7,78.9,78.8,77.1,74.6,73.7,72.7,73.1
Bangladesh,BGD,40.3,38.4,37.3,37,35.4,33.1,30.2,28.1,27,26.1,27.2
Bulgaria,BGR,14.3,13.2,15.6,18.2,17.1,17.9,17.7,17.1,19.6,19.3,21.1
Bahrein,BHR,0,0,0,0,0,0,0,0,0,0,0
Bahamas,BHS,1.3,1.4,1.4,1.4,1.4,1.4,1.2,1.1,1.1,1.1,1.4
Bosnia y Herzegovina,BIH,19.6,14.2,15.3,19.5,23.6,25.2,23,18.5,35.4,36.8,37.7
Belarús,BLR,7.3,7.5,7.2,7,6.7,6.8,6.7,7.3,7.2,7.8,8.4
Belice,BLZ,29.4,42.2,47.9,38,37.4,30.3,33.3,37.2,35.5,30.4,31.4
Bermudas,BMU,0.4,0.4,0.4,1.5,0.4,0.6,1.1,0.6,0.7,0.8,0.9
Bolivia,BOL,19.9,18.1,17.4,16,15,14.2,13.6,14.3,14.3,13.5,16.9
